Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Logistic Regression,0.49333333333333335,0.5133689839572193,0.6114649681528662,0.5581395348837209,0.4546790788829006
Random Forest,0.5,0.5202312138728323,0.5732484076433121,0.5454545454545454,0.49198253975324047
XGBoost,0.49333333333333335,0.5153374233128835,0.535031847133758,0.525,0.5019820943387823
SVM,0.53,0.5425531914893617,0.6496815286624203,0.591304347826087,0.5146764063961516
KNN,0.51,0.532051282051282,0.5286624203821656,0.5303514376996805,0.5130951850697074
